"Notes","Sex","Sex Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Female","F","93 years","93",36586,Not Applicable,Not Applicable
,"Female","F","94 years","94",32768,Not Applicable,Not Applicable
,"Female","F","95 years","95",29253,Not Applicable,Not Applicable
,"Female","F","96 years","96",25134,Not Applicable,Not Applicable
,"Female","F","97 years","97",20712,Not Applicable,Not Applicable
,"Female","F","98 years","98",16525,Not Applicable,Not Applicable
,"Female","F","99 years","99",12640,Not Applicable,Not Applicable
,"Female","F","100+ years","100",26679,Not Applicable,Not Applicable
,"Female","F","Not Stated","NS",25,Not Applicable,Not Applicable
"Total","Female","F",,,1473879,169165495,871.3
,"Male","M","< 1 year","0",11107,1864508,595.7
,"Male","M","1 year","1",892,1887461,47.3
,"Male","M","2 years","2",627,1847159,33.9
,"Male","M","3 years","3",457,1915584,23.9
,"Male","M","4 years","4",353,1944687,18.2
,"Male","M","5 years","5",335,1991400,16.8
,"Male","M","6 years","6",277,2032840,13.6
,"Male","M","7 years","7",265,2082645,12.7
,"Male","M","8 years","8",247,2099576,11.8
,"Male","M","9 years","9",271,2098259,12.9
,"Male","M","10 years","10",260,2086861,12.5
,"Male","M","11 years","11",301,2093367,14.4
,"Male","M","12 years","12",357,2120895,16.8
,"Male","M","13 years","13",513,2161119,23.7
,"Male","M","14 years","14",692,2205676,31.4
,"Male","M","15 years","15",1038,2290485,45.3
,"Male","M","16 years","16",1463,2287751,63.9
,"Male","M","17 years","17",1810,2248723,80.5
,"Male","M","18 years","18",2334,2228634,104.7
,"Male","M","19 years","19",2625,2241042,117.1
,"Male","M","20 years","20",2716,2219541,122.4
,"Male","M","21 years","21",2961,2206893,134.2
,"Male","M","22 years","22",3123,2246218,139.0
,"Male","M","23 years","23",3256,2245959,145.0
,"Male","M","24 years","24",3342,2208200,151.3
,"Male","M","25 years","25",3586,2201762,162.9
,"Male","M","26 years","26",3727,2202223,169.2
,"Male","M","27 years","27",4036,2217412,182.0
,"Male","M","28 years","28",4309,2253574,191.2
,"Male","M","29 years","29",4503,2300927,195.7
,"Male","M","30 years","30",4940,2336026,211.5
,"Male","M","31 years","31",5343,2380812,224.4
,"Male","M","32 years","32",5598,2409471,232.3
,"Male","M","33 years","33",5937,2412004,246.1
,"Male","M","34 years","34",5854,2344976,249.6
,"Male","M","35 years","35",6018,2301606,261.5
,"Male","M","36 years","36",6103,2278841,267.8
,"Male","M","37 years","37",6437,2283377,281.9
,"Male","M","38 years","38",6505,2276417,285.8
,"Male","M","39 years","39",6749,2223839,303.5
,"Male","M","40 years","40",7108,2252586,315.5
,"Male","M","41 years","41",7289,2244111,324.8
,"Male","M","42 years","42",7605,2208359,344.4
,"Male","M","43 years","43",7952,2195356,362.2
,"Male","M","44 years","44",8048,2097744,383.7
,"Male","M","45 years","45",8166,2047099,398.9
,"Male","M","46 years","46",8231,2014051,408.7
,"Male","M","47 years","47",8309,1943954,427.4
,"Male","M","48 years","48",8642,1961182,440.7
,"Male","M","49 years","49",9447,1920069,492.0
,"Male","M","50 years","50",9997,1941532,514.9
,"Male","M","51 years","51",11266,2036991,553.1
,"Male","M","52 years","52",12756,2161378,590.2
,"Male","M","53 years","53",13781,2123079,649.1
,"Male","M","54 years","54",14285,2037774,701.0
,"Male","M","55 years","55",14808,1988381,744.7
,"Male","M","56 years","56",16240,1984546,818.3
,"Male","M","57 years","57",18198,2007902,906.3
,"Male","M","58 years","58",20378,2071240,983.9
,"Male","M","59 years","59",22206,2114322,1050.3
,"Male","M","60 years","60",24108,2105429,1145.0
,"Male","M","61 years","61",25905,2104747,1230.8
,"Male","M","62 years","62",27791,2091013,1329.1
,"Male","M","63 years","63",29366,2044859,1436.1
,"Male","M","64 years","64",30644,1991406,1538.8
,"Male","M","65 years","65",31875,1963214,1623.6
,"Male","M","66 years","66",33542,1913891,1752.6
,"Male","M","67 years","67",34039,1812312,1878.2
,"Male","M","68 years","68",35083,1757006,1996.7
,"Male","M","69 years","69",35904,1678837,2138.6
,"Male","M","70 years","70",36331,1595441,2277.2
,"Male","M","71 years","71",37393,1523668,2454.1
,"Male","M","72 years","72",37888,1433201,2643.6
,"Male","M","73 years","73",38641,1353838,2854.2
,"Male","M","74 years","74",40621,1303672,3115.9
,"Male","M","75 years","75",42771,1263897,3384.1
,"Male","M","76 years","76",46282,1326967,3487.8
,"Male","M","77 years","77",38457,908720,4232.0
,"Male","M","78 years","78",38638,854068,4524.0
,"Male","M","79 years","79",41726,812371,5136.3
,"Male","M","80 years","80",44512,800819,5558.3
,"Male","M","81 years","81",41681,663736,6279.8
,"Male","M","82 years","82",40179,574372,6995.3
,"Male","M","83 years","83",38910,505470,7697.8
,"Male","M","84 years","84",38560,452079,8529.5
,"Male","M","85 years","85",38404,Not Applicable,Not Applicable
,"Male","M","86 years","86",36779,Not Applicable,Not Applicable
,"Male","M","87 years","87",35738,Not Applicable,Not Applicable
,"Male","M","88 years","88",34515,Not Applicable,Not Applicable
,"Male","M","89 years","89",31401,Not Applicable,Not Applicable
,"Male","M","90 years","90",29605,Not Applicable,Not Applicable
,"Male","M","91 years","91",27482,Not Applicable,Not Applicable
,"Male","M","92 years","92",24695,Not Applicable,Not Applicable
,"Male","M","93 years","93",21719,Not Applicable,Not Applicable
,"Male","M","94 years","94",17758,Not Applicable,Not Applicable
,"Male","M","95 years","95",14585,Not Applicable,Not Applicable
,"Male","M","96 years","96",11372,Not Applicable,Not Applicable
,"Male","M","97 years","97",8660,Not Applicable,Not Applicable
,"Male","M","98 years","98",6320,Not Applicable,Not Applicable
,"Male","M","99 years","99",4163,Not Applicable,Not Applicable
,"Male","M","100+ years","100",7008,Not Applicable,Not Applicable
,"Male","M","Not Stated","NS",55,Not Applicable,Not Applicable
"Total","Male","M",,,1617085,165749400,975.6
"Total",,,,,3090964,334914895,922.9
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Title: allcausedeathsbysexbyage"
"Year/Month: 2023"
"Group By: Sex; Single-Year Ages"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Aug 29, 2025 9:34:34 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Aug 29, 2025"
"9:34:34 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"3. The population figures for years 2023 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2023 postcensal series released by the Census Bureau on June 27, 2024. The population figures for years 2022 and later are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 and 2023 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the"
"April 1, 2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population"
"estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File"
"(CEF). The population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended"
"Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"5. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"6. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"7. Deaths occurring through August 16, 2025 as of August 24, 2025."
